# 游戏内文本译文（由 tools/i18n_batch.py 生成，请勿手工编辑）
#
# 覆盖对话、战斗消息、说明文字等；名称类官方译名见 zh_CN_names.txt。
# 同一原文在不同文件里含义不同时，用 @file 限定到具体文件。

"25% of the {LV}s the\l" = "获得搭档{LV}的25%\l"
"2v2. (Equal chance for both)" = "2对2。(两者概率相同)"
"2x damage to Dynamaxed foes." = "对极巨化对手造成2倍伤害。"
"3 players\nneeded." = "需要 3 名\n玩家。"
"3 turns." = "3回合。"
"3-PLAYER\nMODE" = "3 人\n模式"
"4 players\nneeded." = "需要 4 名\n玩家。"
"4-PLAYER\nMODE" = "4 人\n模式"
"5 turns. Blocks priority." = "阻止先制招式。"
"5 turns. Prevents sleep." = "并防止睡眠。"
"5 {PKMN} by the time\l" = "5只{PKMN}，\l"
"5-PLAYER\nMODE" = "5 人\n模式"
"50% of the {LV}s the\l" = "获得搭档{LV}的50%\l"
"5x Capacity\l" = "容量5倍\l"
"60 points." = "60点。"
"???'s Lab$" = "？？？的实验室$"
"???: Congratulations {PLAYER}!\n" = "？？？：恭喜你，{PLAYER}！\n"
"???: One… choice…$" = "？？？：一个…选择…$"
"???: The price this time shall be…$" = "？？？：这次的代价是…$"
"???: What are you doing here!\p" = "???: 你在这里做什么！\p"
"??\n" = "？？\n"
"A" = "一个"
"A 100% pure juice\n" = "100%纯果汁，\n"
"A 1st-turn, 1st-strike move\n" = "第1回合先制的招式，\n"
"A 2-turn move that raises\n" = "2回合招式，\n"
"A 2-turn move that strikes\n" = "蓄力2回合，\n"
"A 2nd floor with a\n" = "带床的2楼，\n"
"A 2nd small plot to\n" = "第二小块可以\n"
"A 3-kick attack that gets\n" = "连续踢3次，\n"
"A 5-turn attack that gains\n" = "5回合内持续攻击，\n"
"A BALL cushion.\n" = "精灵球靠垫。\n"
"A BALTOY doll.\n" = "天秤偶玩偶。\n"
"A Ball designed to\n" = "专为捕捉\n"
"A Ball that gains\n" = "回合越多\n"
"A Ball that makes\n" = "捕捉时能让\n"
"A Ball that works\n" = "在以下情况有效的球：\n"
"A Bellossom-print\n" = "印有美丽花图案的\n"
"A Berry from an ancient era. May not" = "远古时代的树果。不多种"
"A Berry that is very valuable and" = "这是一种非常珍贵而"
"A Berry that is widely said to have" = "据说这树果有着"
"A Button: Confirm\l" = "A键：确认\l"
"A CHIKORITA doll.\n" = "菊草叶玩偶。\n"
"A CLEFAIRY doll.\n" = "皮皮玩偶。\n"
"A CYNDAQUIL doll.\n" = "火球鼠玩偶。\n"
"A DITTO doll.\n" = "百变怪玩偶。\n"
"A DUSKULL doll.\n" = "夜巡灵玩偶。\n"
"A Ditto!\p" = "百变怪！\p"
"A Duskull-print\n" = "印有夜巡灵图案的\n"
"A GULPIN doll.\n" = "溶食兽玩偶。\n"
"A Gym Leader who specialises in various\n" = "一位擅长各种属性的\n"
"A Gym Leader who specialises in\n" = "一位擅长\n"
"A JIGGLYPUFF doll.\n" = "胖丁玩偶。\n"
"A KECLEON doll.\n" = "变隐龙玩偶。\n"
"A LEADER of a big GYM bears" = "大型道馆的馆主"
"A LITTLE" = "一点"
"A LOT" = "很多"
"A LOTAD doll.\n" = "莲叶童子玩偶。\n"
"A MARILL cushion.\n" = "玛力露靠垫。\n"
"A MARILL doll.\n" = "玛力露玩偶。\n"
"A MEOWTH doll.\n" = "喵喵玩偶。\n"
"A MUDKIP doll.\n" = "水跃鱼玩偶。\n"
"A Magnemite-print\n" = "印有小磁怪图案的\n"
"A PICHU doll.\n" = "皮丘玩偶。\n"
"A PIKACHU cushion.\n" = "皮卡丘靠垫。\n"
"A PIKACHU doll.\n" = "皮卡丘玩偶。\n"
"A POKéMON battle is grueling, too…$" = "宝可梦对战也很残酷…$"
"A POKéMON battle really is harsh\n" = "宝可梦对战真是\n"
"A POKéMON belonging to someone like me\n" = "像我这样人的宝可梦\n"
"A POKéMON can make a copy of\n" = "宝可梦用这个招式\n"
"A POKéMON holding the {STR_VAR_1}\n" = "携带{STR_VAR_1}\n"
"A POKéMON is not good at using any\n" = "宝可梦不擅长使用\n"
"A POKéMON may be able to surface.$" = "或许宝可梦能浮上去。$"
"A POKéMON may learn up to four moves.\p" = "宝可梦最多可以学会4个招式。\p"
"A POKéMON raised with love!" = "用爱养大的宝可梦！"
"A POKéMON that grows steadily is one\n" = "稳步成长的宝可梦\n"
"A Phone which can\n" = "可以用手机\n"
"A Pikachu-print\n" = "印有皮卡丘图案的\n"
"A SABLEYE cushion.\n" = "勾魂眼靠垫。\n"
"A SECRET BASE!\p" = "秘密基地！\p"
"A SEEDOT doll.\n" = "橡实果玩偶。\n"
"A SKITTY doll.\n" = "向尾喵玩偶。\n"
"A SMOOCHUM doll.\n" = "迷唇娃玩偶。\n"
"A SMOOCHUM\n" = "迷唇娃\n"
"A SPINDA cushion.\n" = "晃晃斑靠垫。\n"
"A SWABLU doll.\n" = "青绵鸟玩偶。\n"
"A Slakoth-print\n" = "印有懒人獭图案的\n"
"A TINY BIT" = "一点点"
"A TOGEPI doll.\n" = "波克比玩偶。\n"
"A TORCHIC doll.\n" = "火稚鸡玩偶。\n"
"A TOTODILE doll.\n" = "小锯鳄玩偶。\n"
"A TRAINER has arrived in\n" = "有一位训练家已经\n"
"A TRAINER's expertise is tested on the\n" = "训练家的本领就体现在\n"
"A TREECKO doll.\n" = "木守宫玩偶。\n"
"A TV set tuned to\n" = "可以收看\n"
"A WYNAUT doll.\n" = "小果然玩偶。\n"
"A Wailmer-print\n" = "印有吼吼鲸图案的\n"
"A Wingull-print\n" = "印有长翅鸥图案的\n"
"A ZIGZAGOON\n" = "蛇纹熊\n"
"A Zigzagoon-print\n" = "印有蛇纹熊图案的\n"
"A band carrying a\n" = "镶嵌着许愿星的\n"
"A barrage of hard seeds\n" = "连续发射\n"
"A battle starts the instant we meet!$" = "一见面就是一场对战！$"
"A battle with you is always charged\n" = "和你对战总是充满\n"
"A battle, huh?\nAll right, just give me some time." = "要对战吗？\n好吧，给我点时间。"
"A battle? Of course, but I need\ntime to get ready." = "对战？当然可以，\n但我需要时间准备。"
"A beam that changes the\n" = "发出光束，\n"
"A beautiful bottle\n" = "美丽的瓶盖，\n"
"A beautiful yet\n" = "美丽却\n"
"A bell chimed!" = "响起了钟声！"
"A belt that boosts\n" = "腰带。\n"
"A berry that is incredibly spicy at" = "这种树果起初辣得"
"A berry-shaped\n" = "野莓形的\n"
"A better Ball with\n" = "比超级球更容易\n"
"A better-than-average team.$" = "实力中上的队伍。$"
"A big body that's all lumpy and hard,\n" = "巨大的身体又硬又鼓，\n"
"A big mansion is nice, but I like this\n" = "大宅子是不错，但我\n"
"A big nugget made\n" = "黄金制成的大金块，\n"
"A big {STR_VAR_3}-win streak…\n" = "连胜{STR_VAR_3}场…\n"
"A bitter powder\n" = "苦味的粉末，\n"
"A bitter root\n" = "苦味的根，\n"
"A bizarre orb that\n" = "奇怪的宝珠，\n"
"A black apricorn.\n" = "黑色的球果。\n"
"A black stone that\n" = "黑色的石头，\n"
"A block of material\n" = "某种材料块，\n"
"A blue apricorn.\n" = "蓝色的球果。\n"
"A blue balloon filled\n" = "一个蓝色气球，\n"
"A blue, glowing orb\n" = "蓝色的发光宝珠，\n"
"A blue-colored\n" = "一块蓝色的\n"
"A blueprint of some sort?\n" = "某种设计图？\n"
"A bottle used to\n" = "很久以前用来\n"
"A brilliant blue gem\n" = "璀璨的蓝色宝石，\n"
"A brutal ramming attack\n" = "用突出的角\n"
"A brutal snow-and-\n" = "猛烈的风雪\n"
"A bubble attack that absorbs\n" = "泡泡攻击，可吸收\n"
"A bursting flame that does\n" = "爆裂的火焰\n"
"A candidate to finish first.$" = "有望夺得第一的队伍。$"
"A card-type door\n" = "用于西尔佛公司\n"
"A case for holding\n" = "存放用树果混合器\n"
"A case that holds\n" = "最多可存放\n"
"A catalog full of\n" = "收录了大量\n"
"A charge that may burn the\n" = "猛烈撞击，\n"
"A charge using guard hair.\n" = "用护毛猛冲。\n"
"A charging attack that may\n" = "猛冲攻击，\n"
"A charm that raises\n" = "能提高\n"
"A charm that will\n" = "能提高\n"
"A chilling attack that\n" = "冰冷的攻击，\n"
"A chipped teacup\n" = "有缺口的茶碗，\n"
"A chipped teapot\n" = "有缺口的茶壶，\n"
"A chopping attack with a\n" = "以手刀劈向对手，\n"
"A claw attack that may\n" = "用爪子攻击，\n"
"A clover-shaped\n" = "幸运草形的\n"
"A comet's shard.\n" = "彗星碎片。\n"
"A commemorative RIBBON" = "献给心爱宝可梦的"
"A completely enigmatic Berry." = "完全谜一般的树果。"
"A convenient case \n" = "方便收纳\n"
"A convenient\n" = "方便携带\n"
"A copper coin used\n" = "铜币。\n"
"A corkscrewing attack with\n" = "以旋转之势\n"
"A corrosive chain attack\n" = "腐蚀性的锁链攻击，\n"
"A cozy Ball that\n" = "能让宝可梦\n"
"A cracked teacup\n" = "有裂痕的茶碗，\n"
"A cracked teapot\n" = "有裂痕的茶壶，\n"
"A critical hit!" = "击中要害！"
"A crystal to turn\n" = "能让合体后的\n"
"A cuff from Galar\n" = "伽勒尔的豆蔻手环，\n"
"A damaging sound wave that\n" = "发出有害的声波，\n"
"A decent fishing\n" = "还不错的钓竿，\n"
"A defeat is a defeat.\p" = "败就是败。\p"
"A deluge of ions showers\nthe battlefield!" = "离子倾盆而下\n洒满整个战场！"
"A desperation attack. Power\n" = "拼命的攻击，\n"
"A device by Devon\n" = "得文制造的装置，\n"
"A device found\n" = "发现的装置在\n"
"A device that\n" = "用声音提示\n"
"A device to fuse\n" = "能融合并分离\n"
"A diary log for\n" = "记录任务与\n"
"A diary tracking\n" = "记录过去\n"
"A dire claw strike with a high\n" = "凶猛的爪击，容易\n"
"A disc with Bug\n" = "装有虫属性数据的\n"
"A disc with Dark\n" = "装有恶属性数据的\n"
"A disc with Dragon\n" = "装有龙属性数据的\n"
"A disc with Electric\n" = "装有电属性数据的\n"
"A disc with Fairy\n" = "装有妖精属性数据的\n"
"A disc with Fighting\n" = "装有格斗属性数据的\n"
"A disc with Fire\n" = "装有火属性数据的\n"
"A disc with Flying\n" = "装有飞行属性数据的\n"
"A disc with Ghost\n" = "装有幽灵属性数据的\n"
"A disc with Grass\n" = "装有草属性数据的\n"
"A disc with Ground\n" = "装有地面属性数据的\n"
"A disc with Ice\n" = "装有冰属性数据的\n"
"A disc with Poison\n" = "装有毒属性数据的\n"
"A disc with Psychic\n" = "装有超能力属性数据的\n"
"A disc with Rock\n" = "装有岩石属性数据的\n"
"A disc with Steel\n" = "装有钢属性数据的\n"
"A disc with Water\n" = "装有水属性数据的\n"
"A double-chopping attack.\n" = "双重劈砍攻击。\n"
"A double-kicking attack\n" = "连续踢击，\n"
"A downpour started!" = "下起了暴雨！"
"A faded sea chart\n" = "褪色的海图，\n"
"A fast and unavoidable\n" = "迅速且必定\n"
"A fast kick delivered from\n" = "以敏捷的动作\n"
"A fast-running POKéMON!" = "跑得飞快的宝可梦！"
"A fertilizer Rich\n" = "富含营养，\n"
"A fertilizer that\n" = "能\n"
"A few things before you get started…$" = "开始之前，有几件事要说…$"
"A fiery charge attack that\n" = "带火焰的冲撞，\n"
"A fiery dash attack with a\n" = "带火的冲刺攻击，\n"
"A fiery punch that may burn\n" = "带火焰的拳，有时会灼伤\n"
"A fighting dance that\n" = "战舞，能\n"
"A fire-mark\n" = "火纹\n"
"A fizzy soda drink\n" = "碳酸汽水，\n"
"A flower-shaped\n" = "花朵形的\n"
"A flowering tropical\n" = "一盆开花的\n"
"A folding bicycle\n" = "折叠自行车。\n"
"A former CHAMPION!\p" = "曾经的冠军！\p"
"A fossil of an\n" = "古代\n"
"A friend should now be able to join you\l" = "现在好友应该可以加入你，\l"
"A full-body slam that may\n" = "用整个身体猛撞，\n"
"A gift in the form of a\n" = "礼物形状的炸弹，\n"
"A glass flute that\n" = "玻璃笛子，\n"
"A glass replica of\n" = "美术馆著名\n"
"A glint appears in\n{B_SCR_ACTIVE_NAME_WITH_PREFIX}'s eyes!" = "{B_SCR_ACTIVE_NAME_WITH_PREFIX}\n眼中闪过一道光！"
"A gold coin used\n" = "金币。\n"
"A good Ball with a\n" = "比精灵球更容易\n"
"A good nickname that should make the\n" = "好昵称，会让\n"
"A gorgeous-print\n" = "印有华丽图案的\n"
"A grand illusion of water sculpted by\n" = "由宝可梦和我\n"
"A grass-mark\n" = "草纹\n"
"A great letter bears reading over\n" = "好信值得反复\n"
"A green apricorn.\n" = "绿色的球果。\n"
"A ground-shaking attack\n" = "震动地面的攻击，\n"
"A guide to the WIRELESS CLUB's\n" = "无线俱乐部各项\n"
"A guy like me needs someone like\l" = "像我这样的家伙，需要\l"
"A hand that taps the A Button\n" = "敲击A键的手\n"
"A hard punch that raises\n" = "用猛烈的拳击，\n"
"A headband that\n" = "头带。\n"
"A heart-shaped\n" = "心形的\n"
"A heavy rain began to fall!" = "下起了大雨！"
"A held item that\n" = "携带后\n"
"A hidden switch!\p" = "一个隐藏开关！\p"
"A high power laser that\n" = "强力激光，\n"
"A high-speed spin that does\n" = "高速旋转，\n"
"A highly appealing move.$" = "表演效果极佳的招式。$"
"A hold item that \n" = "携带后\n"
"A hold item that\n" = "携带后\n"
"A hooked claw that\n" = "钩爪，\n"
"A huge Berry, with some over 20" = "巨大的树果，有的超过"
"A huge desk made\n" = "一张超大书桌，\n"
"A huge electrified wave that\n" = "巨大的带电波浪，\n"
"A huge one, I tell you!$" = "超级大，我跟你说！$"
"A hypnotizing move that\n" = "催眠的招式，\n"
"A jumping knee kick. If it\n" = "跳跃的膝踢，\n"
"A key that opens a\n" = "打开一扇门，\n"
"A kick that inflicts more\n" = "踢击的伤害，\n"
"A kick with a high critical-\n" = "容易击中要害的踢击，\n"
"A large and rare\n" = "又大又稀有的\n"
"A large ball of mud.\n" = "一个大泥球。\n"
"A large blue tent.\n" = "一个大蓝色帐篷。\n"
"A large desk made\n" = "一张大书桌，\n"
"A large doll.\n" = "大玩偶。\n"
"A large pedestal\n" = "一个带台阶的\n"
"A large poster with\n" = "一张大海报，\n"
"A large pot with\n" = "一个大花盆，\n"
"A large red tent.\n" = "一个大红色帐篷。\n"
"A large, glowing gem\n" = "巨大的发光宝石，\n"
"A large, impressive\n" = "一株十分气派的\n"
"A large, umbrella-\n" = "一株撑伞般的\n"
"A letter to Steven\n" = "得文公司社长\n"
"A life adrift…\n" = "漂泊的人生…\n"
"A life-risking headbutt that\n" = "拼命地用头撞击，\n"
"A life-risking tackle that\n" = "冒着生命危险的冲撞，\n"
"A light, fluid dance that\n" = "轻盈流畅的舞蹈，\n"
"A lightning attack that may\n" = "雷电攻击，\n"
"A likely top-three finisher.$" = "很可能进前三的队伍。$"
"A link TV program will not be made\n" = "由于训练家落败，\n"
"A little earlier, I was in a battle.\n" = "刚才我参加了一场对战。\n"
"A little while ago I came close to\n" = "刚才我差一点就\n"
"A little while ago, I won a battle.\n" = "刚才我赢了一场对战。\n"
"A local specialty\n" = "当地特产，\n"
"A loss is a loss.\p" = "输就是输。\p"
"A loud attack that can be\n" = "大声攻击，\n"
"A loud attack that uses\n" = "发出巨大声音，\n"
"A lovely large pearl\n" = "可爱的大珍珠，\n"
"A lovely scale.\n" = "可爱的鳞片。\n"
"A low altitude charge that\n" = "低空俯冲猛撞，\n"
"A magnifying lens\n" = "放大镜，\n"
"A marathon is a challenge" = "马拉松就是挑战"
"A mat designed with\n" = "一块印有\n"
"A mat that plays\n" = "一块垫子，踩上去\n"
"A mat with a POWDER\n" = "一块印有细雪\n"
"A medal-like item in\n" = "形状与熔岩队\n"
"A melody from my POKéMON and me…\n" = "我和宝可梦的旋律…\n"
"A mere child like you dares to challenge\n" = "小小年纪竟敢来\n"
"A meteorite found\n" = "在流星瀑布\n"
"A mind-affecting light that\n" = "影响精神的光芒，\n"
"A mind-affecting light\n" = "扰乱精神的光芒，\n"
"A mineral water\n" = "矿泉水，\n"
"A mix of different types." = "各种属性混搭。"
"A moon-powered beam that\n" = "以月亮之力放出光束，\n"
"A more cautious TRAINER than\n" = "再没有比\n"
"A move that functions\n" = "效果会因\n"
"A mysterious Berry. It is rumored to" = "神秘的树果。据说其中"
"A mysterious air current is\nprotecting Flying-type Pokémon!" = "神秘的气流\n保护着飞行属性宝可梦！"
"A mysterious ore.\n" = "神秘的矿石。\n"
"A mysterious power strikes,\n" = "神秘力量攻击，\n"
"A mysterious power strikes.\n" = "神秘的力量攻击对手。\n"
"A mysterious scale\n" = "神秘的鳞片，\n"
"A mysterious sign!$" = "神秘的路牌！$"
"A mysterious sign!\p" = "神秘的路牌！\p"
"A mysterious string\n" = "神秘的绳子，\n"
"A mystical dance that ups\n" = "神秘的舞蹈，\n"
"A mystical fire attack that\n" = "神秘的火焰攻击，\n"
"A mystical force prevents\n" = "神秘的力量能防止\n"
"A new TRAINER has arrived in\nHOENN." = "新的训练家\n来到了丰缘。"
"A new adversary has arrived in the\nBATTLE TOWER." = "新的对手\n来到了对战塔。"
"A nickname fit for a unique individual\n" = "这昵称正适合一只\n"
"A nickname that hints at talent in many\n" = "这昵称暗示着多方面的\n"
"A nickname that perfectly complements\n" = "这昵称与训练家之名\n"
"A nickname that will nurture the caring\n" = "这昵称会培育宝可梦\n"
"A note from the dev..\p" = "开发者的话…\p"
"A nugget of pure\n" = "纯金块。\n"
"A nutritious milk\n" = "营养丰富的牛奶，\n"
"A one-hit KO attack that\n" = "一击必杀的招式，\n"
"A one-hit KO move that\n" = "一击必杀的招式，\n"
"A package that\n" = "装有得文\n"
"A pair of glasses\n" = "眼镜。\n"
"A pair of {STR_VAR_2} in a battle.\p" = "一对{STR_VAR_2}在对战。\p"
"A parasol can't ward off POKéMON\n" = "伞可挡不住宝可梦\n"
"A parasol wouldn't suit you at all.\p" = "伞一点也不适合你。\p"
"A parcel for Prof.\n" = "友好商店店员\n"
"A pass for ferries\n" = "往返1岛、2岛\n"
"A peculiar Berry with a mix of flavors." = "各种味道混合的奇特树果。"
"A peculiar box made\n" = "西尔佛公司\n"
"A peculiar metal\n" = "奇特的金属，\n"
"A peculiar scroll\n" = "记载着\n"
"A piece of a prehis-\n" = "史前的\n"
"A piece of a\n" = "史前\n"
"A piece of an\n" = "古代\n"
"A pink apricorn.\n" = "粉色的球果。\n"
"A plain mushroom\n" = "普通的蘑菇，\n"
"A planted BERRY will soon sprout,\n" = "种下的树果很快会发芽，\n"
"A pot of cute\n" = "一盆可爱的\n"
"A powdery attack that may\n" = "撒出粉末攻击，\n"
"A powerful 2-turn move that\n" = "强力的2回合招式，\n"
"A powerful electric\n" = "强大的电击\n"
"A powerful fire attack that\n" = "强力的火焰攻击。\n"
"A powerful fire\n" = "强大的火焰\n"
"A powerful loyalty attack.\n" = "强大的忠诚攻击。\n"
"A powerful pincer attack\n" = "强力的钳子攻击，\n"
"A powerful psychic attack\n" = "强力的超能力攻击，\n"
"A powerful psychic\n" = "强大的超能力\n"
"A powerful quake, but has\n" = "强力的地震，但\n"
"A pretty pearl\n" = "漂亮的珍珠，\n"
"A proper battle to finish it all!\p" = "一场了结一切的正经对战！\p"
"A psychic attack that may\n" = "超能力攻击，\n"
"A psychic move for fleeing\n" = "用超能力\n"
"A punch is thrown at blinding\n" = "用极快的速度出拳，\n"
"A punch is thrown at wicked\n" = "以极快的速度\n"
"A punishing experience intended for\n" = "为喜欢更高难度的人\n"
"A rainbow appeared in the sky\non {B_ATK_TEAM2} team's side!" = "{B_ATK_TEAM2}队伍那侧的\n天空出现了彩虹！"
"A ramming attack that may\n" = "猛撞攻击，\n"
"A rampage of 2 to 3 turns\n" = "2到3回合的乱打，\n"
"A rare Ball made\n" = "为纪念某活动\n"
"A rare mushroom\n" = "稀有的蘑菇，\n"
"A rare ore. Can be\n" = "稀有的矿石。\n"
"A rare variety shaped like a root." = "形如根茎的稀有品种。"
"A rare variety that is overgrown with" = "长满绒毛的稀有品种。"
"A rare word has been added." = "添加了一个稀有词汇。"
"A real warrior doesn't dash off in\n" = "真正的战士不会急着\n"
"A real warrior ponders the next battle.$" = "真正的战士会思考下一战。$"
"A realistic toy TV. It could be easily\n" = "仿真的玩具电视，几乎\n"
"A rechargeable unit\n" = "充电式装置，\n"
"A reckless body slam that\n" = "不顾一切地猛撞，\n"
"A reckless charge attack\n" = "不顾一切的冲撞，\n"
"A red apricorn.\n" = "红色的球果。\n"
"A red balloon filled\n" = "一个红色气球，\n"
"A red gem shard.\n" = "红色宝石碎片。\n"
"A red, glowing orb\n" = "红色的发光宝珠，\n"
"A red-colored brick.\n" = "一块红色的砖。\n"
"A remedial Ball\n" = "能恢复被捕捉\n"
"A repulsive attack that may\n" = "令人厌恶的攻击，\n"
"A rhythmic punch that may\n" = "有节奏的拳击，\n"
"A ribbon-shaped\n" = "蝴蝶结形的\n"
"A rock-crushing attack\n" = "粉碎岩石的攻击，\n"
"A rock-crushingly\n" = "猛烈到能粉碎岩石的\n"
"A roundhouse kick that\n" = "回旋踢攻击，\n"
"A rusty shield. A\n" = "生锈的盾。\n"
"A rusty sword. A\n" = "生锈的剑。\n"
"A sachet filled with\n" = "装满香水的香囊，\n"
"A sack used to\n" = "收集并存放\n"
"A sandstorm brewed!" = "刮起了沙暴！"
"A sandstorm is raging." = "沙暴正在肆虐。"
"A sandstorm kicked up!" = "扬起了沙暴！"
"A savage roar that\n" = "发出狂野的吼叫，\n"
"A scorching song that may\n" = "灼热的歌声，\n"
"A sea of fire enveloped\n{B_DEF_TEAM2} team!" = "火海包围了\n{B_DEF_TEAM2}队伍！"
"A seashell found\n" = "贝壳，发现于\n"
"A shard from an\n" = "古代道具的\n"
"A shard of an old\n" = "某种古老刀剑的\n"
"A shard that may\n" = "能改变\n"
"A sharp-fanged attack.\n" = "用尖锐的牙齿攻击。\n"
"A shield of {STR_VAR_2} that marks winning\n" = "{STR_VAR_2}的盾牌，授予在对战塔\n"
"A shock wave attack that\n" = "发射冲击波，\n"
"A shower with ice-cold water\n" = "用冰冷的水淋湿对手，\n"
"A silver coin used\n" = "银币。\n"
"A sinister ray that\n" = "奇怪的光线，\n"
"A slam shrouded in water.\n" = "裹着水猛撞对手，\n"
"A slash that may poison a\n" = "劈斩对手，\n"
"A small and rare\n" = "又小又稀有的\n"
"A small chair built\n" = "一把小椅子，\n"
"A small chair made\n" = "一把小椅子，\n"
"A small cosmetic\n" = "小型观赏花园，\n"
"A small desk built in\n" = "一张小书桌，\n"
"A small desk built\n" = "一张小书桌，\n"
"A small fence that\n" = "一道小栅栏，\n"
